Stat,Name,Number of dwellings,"Gross charges
NIS k",discount NIS K,discount percent,allocated collected NIS K,allocated collected percent,debit balance NIS K,debit balance percent
1114,"המרכז הרפואי הדסה עין כרם,
  קרית הדסה",      1,        2.5,      0.0, 0,      2.4,96,      0.1, 4
1115,"עין כרם, מוסקוביה",    518,"    5,667.1","  1,317.9",23,"  4,063.8",72,    285.4, 5
1116,כפר שלמא - אלווין ירושלים (הכפר השוודי),      1,      492.2,    167.5,34,    324.7,66,      0.1,                                -  
1121,קרית היובל (דרום - מערב) - רח' פסח חברוני,"  1,152","    5,220.4","  1,133.1",22,"  3,776.0",72,    311.3, 6
1122,קרית היובל (צפון - מערב) - רח' שמריהו לוין ,"  1,269","    6,110.5","  1,520.0",25,"  4,144.4",68,    446.1, 7
1123,"קרית היובל (מרכז) - שיכון ותיקים, רח' אנילביץ",    512,"    3,103.8",    735.4,24,"  2,254.6",73,    113.8, 4
1124,"קרית היובל (צפון - מזרח) - שיכון מומחים, רח' זנגויל","  1,143","    4,844.5","  1,084.3",22,"  3,409.5",70,    350.7, 7
1131,"קרית היובל (דרום - מזרח) - רח' גואטמאלה, מרכז מסחרי","  1,364","    5,816.8","  1,707.9",29,"  3,739.9",64,    369.0, 6
1132,קרית היובל (דרום) - רח' אברהם שטרן,"  1,588","    5,585.4","  1,811.1",32,"  3,329.3",60,    445.0, 8
1133,"קרית היובל (מערב) - רח' פלורנטין, מתנ""ס פיליפ לאון",    518,"    2,849.3",    662.4,23,"  2,053.1",72,    133.8, 5
1134,עיר גנים א' - רח' הנרד,    582,"    4,735.3",    915.1,19,"  3,591.0",76,    229.3, 5
1141,"מצפה מנחם, קרית מנחם","  1,699","    6,766.7","  1,924.1",28,"  4,518.1",67,    324.5, 5
1142,עיר גנים ב' - רח' הרפובליקה הדומיניקנית,    744,"    3,901.3","  1,113.2",29,"  2,655.1",68,    133.0, 3
1143,עיר גנים ג' - רח' הנורית,"  1,510","    5,750.4","  1,680.1",29,"  3,739.6",65,    330.7, 6
1144,גבעת משואה,"  1,151","    9,133.4","  1,707.6",19,"  7,282.8",80,    143.0, 2
1147,"מורדות מנחת, מנחת (מלחה) - רח' קדושי סטרומה, רח' האייל","  1,193","   17,025.8","  2,979.3",18," 13,475.2",79,    571.3, 3
1211,גונן (קטמון) ט' - רח' בר יוחאי,    996,"    2,672.5",    862.4,32,"  1,571.4",59,    238.7, 9
1212,"גונן (קטמון) ח' - רח' יצחק שדה, רח' השומר","  1,247","    4,205.3","  1,232.7",29,"  2,612.4",62,    360.1, 9
1213,פת - רח' ברל לוקר,    693,"    3,312.1","  1,068.7",32,"  2,116.2",64,    127.2, 4
1214,"גונן (קטמון) ב', ג', ד' - רח' קנאי הגליל","  1,079","    5,566.7","  1,232.3",22,"  4,068.9",73,    265.5, 5
1215,"גונן (קטמון) א', ו' - רח' אנטיגנוס,
רח' רשב""ג","  1,528","    6,845.1","  1,761.3",26,"  4,632.3",68,    451.5, 7
1216,גונן (קטמון הישנה) (דרום) - רח' רבי מאיר,"  1,504","    8,737.1","  1,668.3",19,"  6,487.7",74,    581.1, 7
1217,גונן (קטמון) ה' - רח' ניקנור,"  1,493","    9,230.2","  1,998.1",22,"  6,868.0",74,    364.1, 4
1221,"גבעת מרדכי - רח' שח""ל","  1,754","   13,923.9","  4,113.3",30,"  9,329.8",67,    480.8, 4
1222,"גבעת הורדים (רסקו), גבעת אורנים, רח' ש""י עגנון","  2,086","   17,561.1","  3,592.8",21," 13,292.4",76,    675.9, 4
1223,"גבעת אורן - רח' הטייסים, רח' ניל""י","  1,689","   13,055.2","  2,438.6",19,"  9,984.5",77,    632.0, 5
1311,גונן (קטמון הישנה) (מרכז) - רח' משמר העם,"  1,208","    9,930.3","  1,660.1",17,"  7,855.4",79,    414.8, 4
