city_code,name_heb,name_eng,stat_code,cluster_2019,cluster_2017,yishuv_stat
2400.0,אור יהודה,OR YEHUDA,11,3.0,3,24000011
2400.0,אור יהודה,OR YEHUDA,12,5.0,5,24000012
2400.0,אור יהודה,OR YEHUDA,13,6.0,6,24000013
565.0,אזור,AZOR,2,6.0,6,5650002
565.0,אזור,AZOR,3,7.0,6,5650003
565.0,אזור,AZOR,1,7.0,7,5650001
6100.0,בני ברק,BENE BERAQ,421,1.0,1,61000421
6100.0,בני ברק,BENE BERAQ,313,1.0,1,61000313
6100.0,בני ברק,BENE BERAQ,312,1.0,1,61000312
6100.0,בני ברק,BENE BERAQ,423,1.0,1,61000423
6100.0,בני ברק,BENE BERAQ,213,1.0,1,61000213
6100.0,בני ברק,BENE BERAQ,211,1.0,1,61000211
6100.0,בני ברק,BENE BERAQ,222,1.0,1,61000222
6100.0,בני ברק,BENE BERAQ,221,1.0,1,61000221
6100.0,בני ברק,BENE BERAQ,422,1.0,1,61000422
6100.0,בני ברק,BENE BERAQ,311,1.0,1,61000311
6100.0,בני ברק,BENE BERAQ,212,2.0,2,61000212
6100.0,בני ברק,BENE BERAQ,414,2.0,2,61000414
6100.0,בני ברק,BENE BERAQ,113,2.0,2,61000113
6100.0,בני ברק,BENE BERAQ,413,2.0,2,61000413
6100.0,בני ברק,BENE BERAQ,122,2.0,2,61000122
6100.0,בני ברק,BENE BERAQ,112,2.0,2,61000112
6100.0,בני ברק,BENE BERAQ,411,2.0,2,61000411
6100.0,בני ברק,BENE BERAQ,114,2.0,2,61000114
6100.0,בני ברק,BENE BERAQ,412,2.0,2,61000412
6100.0,בני ברק,BENE BERAQ,315,2.0,2,61000315
6100.0,בני ברק,BENE BERAQ,123,2.0,3,61000123
6100.0,בני ברק,BENE BERAQ,115,2.0,3,61000115
6100.0,בני ברק,BENE BERAQ,314,3.0,3,61000314
6100.0,בני ברק,BENE BERAQ,121,3.0,3,61000121
6100.0,בני ברק,BENE BERAQ,117,4.0,4,61000117
6200.0,בת ים,BAT YAM,413,4.0,4,62000413
6200.0,בת ים,BAT YAM,412,4.0,4,62000412
6200.0,בת ים,BAT YAM,113,4.0,4,62000113
6200.0,בת ים,BAT YAM,422,5.0,4,62000422
6200.0,בת ים,BAT YAM,411,5.0,4,62000411
6200.0,בת ים,BAT YAM,522,5.0,4,62000522
6200.0,בת ים,BAT YAM,421,5.0,4,62000421
6200.0,בת ים,BAT YAM,112,5.0,4,62000112
6200.0,בת ים,BAT YAM,115,5.0,5,62000115
6200.0,בת ים,BAT YAM,423,5.0,4,62000423
6200.0,בת ים,BAT YAM,511,5.0,4,62000511
6200.0,בת ים,BAT YAM,514,5.0,5,62000514
6200.0,בת ים,BAT YAM,221,5.0,5,62000221
6200.0,בת ים,BAT YAM,321,5.0,4,62000321
6200.0,בת ים,BAT YAM,212,5.0,5,62000212
6200.0,בת ים,BAT YAM,225,5.0,5,62000225
6200.0,בת ים,BAT YAM,114,5.0,5,62000114
6200.0,בת ים,BAT YAM,223,5.0,5,62000223
6200.0,בת ים,BAT YAM,111,5.0,5,62000111
6200.0,בת ים,BAT YAM,322,5.0,5,62000322
6200.0,בת ים,BAT YAM,313,5.0,5,62000313
6200.0,בת ים,BAT YAM,222,5.0,5,62000222
6200.0,בת ים,BAT YAM,224,5.0,5,62000224
6200.0,בת ים,BAT YAM,315,5.0,5,62000315
6200.0,בת ים,BAT YAM,316,5.0,5,62000316
6200.0,בת ים,BAT YAM,311,5.0,5,62000311
6200.0,בת ים,BAT YAM,312,5.0,5,62000312
6200.0,בת ים,BAT YAM,314,5.0,5,62000314
6200.0,בת ים,BAT YAM,213,5.0,5,62000213
6200.0,בת ים,BAT YAM,513,5.0,6,62000513
6200.0,בת ים,BAT YAM,214,5.0,6,62000214
6200.0,בת ים,BAT YAM,512,6.0,6,62000512
6200.0,בת ים,BAT YAM,523,6.0,6,62000523
6200.0,בת ים,BAT YAM,521,6.0,6,62000521
6200.0,בת ים,BAT YAM,226,7.0,7,62000226
681.0,גבעת שמואל,GIV'AT SHEMU'EL,2,7.0,7,6810002
681.0,גבעת שמואל,GIV'AT SHEMU'EL,3,7.0,7,6810003
681.0,גבעת שמואל,GIV'AT SHEMU'EL,1,8.0,9,6810001
681.0,גבעת שמואל,GIV'AT SHEMU'EL,6,8.0,9,6810006
681.0,גבעת שמואל,GIV'AT SHEMU'EL,4,8.0,9,6810004
681.0,גבעת שמואל,GIV'AT SHEMU'EL,5,9.0,9,6810005
6300.0,גבעתיים,GIV'ATAYIM,43,8.0,8,63000043
6300.0,גבעתיים,GIV'ATAYIM,32,8.0,8,63000032
6300.0,גבעתיים,GIV'ATAYIM,33,8.0,8,63000033
6300.0,גבעתיים,GIV'ATAYIM,11,8.0,8,63000011
6300.0,גבעתיים,GIV'ATAYIM,44,8.0,9,63000044
6300.0,גבעתיים,GIV'ATAYIM,21,9.0,9,63000021
6300.0,גבעתיים,GIV'ATAYIM,23,9.0,9,63000023
6300.0,גבעתיים,GIV'ATAYIM,31,9.0,9,63000031
6300.0,גבעתיים,GIV'ATAYIM,22,9.0,9,63000022
6300.0,גבעתיים,GIV'ATAYIM,12,9.0,9,63000012
6300.0,גבעתיים,GIV'ATAYIM,34,9.0,9,63000034
6300.0,גבעתיים,GIV'ATAYIM,42,9.0,9,63000042
6300.0,גבעתיים,GIV'ATAYIM,13,9.0,9,63000013
6300.0,גבעתיים,GIV'ATAYIM,41,10.0,10,63000041
6600.0,חולון,HOLON,512,3.0,3,66000512
6600.0,חולון,HOLON,621,4.0,4,66000621
6600.0,חולון,HOLON,514,4.0,4,66000514
6600.0,חולון,HOLON,615,5.0,4,66000615
6600.0,חולון,HOLON,212,5.0,5,66000212
6600.0,חולון,HOLON,622,5.0,5,66000622
6600.0,חולון,HOLON,216,5.0,5,66000216
6600.0,חולון,HOLON,624,5.0,5,66000624
6600.0,חולון,HOLON,215,5.0,5,66000215
6600.0,חולון,HOLON,614,6.0,6,66000614
6600.0,חולון,HOLON,223,6.0,6,66000223
6600.0,חולון,HOLON,623,6.0,6,66000623
6600.0,חולון,HOLON,521,6.0,5,66000521
6600.0,חולון,HOLON,613,6.0,6,66000613
6600.0,חולון,HOLON,314,6.0,6,66000314
6600.0,חולון,HOLON,611,6.0,6,66000611
6600.0,חולון,HOLON,211,6.0,6,66000211
6600.0,חולון,HOLON,331,6.0,6,66000331
6600.0,חולון,HOLON,332,6.0,6,66000332
6600.0,חולון,HOLON,324,6.0,6,66000324
6600.0,חולון,HOLON,612,6.0,6,66000612
6600.0,חולון,HOLON,513,6.0,6,66000513
6600.0,חולון,HOLON,333,6.0,6,66000333
6600.0,חולון,HOLON,523,6.0,6,66000523
6600.0,חולון,HOLON,335,6.0,6,66000335
6600.0,חולון,HOLON,225,6.0,6,66000225
6600.0,חולון,HOLON,412,6.0,6,66000412
6600.0,חולון,HOLON,334,7.0,7,66000334
6600.0,חולון,HOLON,323,7.0,6,66000323
6600.0,חולון,HOLON,224,7.0,7,66000224
6600.0,חולון,HOLON,213,7.0,7,66000213
6600.0,חולון,HOLON,313,7.0,7,66000313
6600.0,חולון,HOLON,321,7.0,7,66000321
6600.0,חולון,HOLON,222,7.0,7,66000222
6600.0,חולון,HOLON,221,7.0,7,66000221
6600.0,חולון,HOLON,214,7.0,7,66000214
6600.0,חולון,HOLON,522,7.0,7,66000522
6600.0,חולון,HOLON,311,7.0,7,66000311
6600.0,חולון,HOLON,312,7.0,7,66000312
6600.0,חולון,HOLON,322,7.0,7,66000322
6600.0,חולון,HOLON,422,7.0,8,66000422
6600.0,חולון,HOLON,413,8.0,8,66000413
6600.0,חולון,HOLON,411,8.0,7,66000411
6600.0,חולון,HOLON,421,8.0,..,66000421
7900.0,פתח תקווה,PETAH TIQWA,513,4.0,4,79000513
7900.0,פתח תקווה,PETAH TIQWA,524,4.0,4,79000524
7900.0,פתח תקווה,PETAH TIQWA,523,4.0,4,79000523
7900.0,פתח תקווה,PETAH TIQWA,515,5.0,4,79000515
7900.0,פתח תקווה,PETAH TIQWA,311,5.0,4,79000311
7900.0,פתח תקווה,PETAH TIQWA,512,5.0,4,79000512
7900.0,פתח תקווה,PETAH TIQWA,412,5.0,5,79000412
7900.0,פתח תקווה,PETAH TIQWA,313,5.0,5,79000313
7900.0,פתח תקווה,PETAH TIQWA,312,5.0,5,79000312
7900.0,פתח תקווה,PETAH TIQWA,415,5.0,5,79000415
7900.0,פתח תקווה,PETAH TIQWA,421,5.0,5,79000421
7900.0,פתח תקווה,PETAH TIQWA,234,5.0,5,79000234
7900.0,פתח תקווה,PETAH TIQWA,414,5.0,5,79000414
7900.0,פתח תקווה,PETAH TIQWA,114,5.0,5,79000114
